marka,model,araba_yasi,kilometre,motor_gucu,fiyat
alfa-romeo,Giulia,7,125000,111,700000
alfa-romeo,Giulia,8,135000,111,680000
alfa-romeo,Giulia,5,95000,111,760000
alfa-romeo,Giulia,10,155000,111,650000
alfa-romeo,Giulia,6,105000,111,755000
alfa-romeo,Giulia,7,115000,111,720000
alfa-romeo,Giulia,8,125000,111,705000
alfa-romeo,Giulia,5,100000,111,745000
alfa-romeo,Giulia,10,145000,111,670000
alfa-romeo,Giulia,6,118000,111,735000
alfa-romeo,Giulia,7,130000,111,695000
alfa-romeo,Giulia,8,140000,111,675000
alfa-romeo,Giulia,5,90000,111,770000
alfa-romeo,Giulia,10,165000,111,640000
alfa-romeo,Giulia,6,108000,111,750000
alfa-romeo,Giulia,7,122000,111,710000
alfa-romeo,Giulia,8,132000,111,685000
alfa-romeo,Giulia,5,110000,111,735000
alfa-romeo,Giulia,10,150000,111,665000
alfa-romeo,Giulia,6,115000,111,740000
alfa-romeo,Giulia,7,128000,111,700000
alfa-romeo,Giulia,8,138000,111,680000
alfa-romeo,Giulia,5,98000,111,750000
alfa-romeo,Giulia,10,160000,111,645000
alfa-romeo,Giulia,6,110000,111,745000
alfa-romeo,Giulia,7,120000,111,715000
alfa-romeo,Giulia,8,130000,111,690000
alfa-romeo,Giulia,5,105000,111,740000
alfa-romeo,Giulia,10,140000,111,675000
alfa-romeo,Giulia,6,120000,111,730000
alfa-romeo,Giulia,7,132000,111,690000
alfa-romeo,Giulia,8,145000,111,665000
alfa-romeo,Giulia,5,85000,111,780000
alfa-romeo,Giulia,10,170000,111,635000
alfa-romeo,Giulia,6,102000,111,758000
alfa-romeo,Giulia,7,118000,111,722000
alfa-romeo,Giulia,8,128000,111,702000
alfa-romeo,Giulia,5,108000,111,737000
alfa-romeo,Giulia,10,152000,111,668000
alfa-romeo,Giulia,6,114000,111,742000
alfa-romeo,Giulia,7,126000,111,703000
alfa-romeo,Giulia,8,136000,111,682000
alfa-romeo,Giulia,5,92000,111,767000
alfa-romeo,Giulia,10,162000,111,643000
alfa-romeo,Giulia,6,111000,111,748000
alfa-romeo,Giulia,7,123000,111,713000
alfa-romeo,Giulia,8,133000,111,688000
alfa-romeo,Giulietta,9,138769,111,558660
alfa-romeo,Giulietta,12,184400,111,482000
alfa-romeo,Giulietta,12,132184,111,558220
alfa-romeo,Giulietta,10,150000,111,530000
alfa-romeo,Giulietta,11,165000,111,500000
alfa-romeo,Giulietta,13,200000,111,450000
alfa-romeo,Giulietta,9,145000,111,550000
alfa-romeo,Giulietta,12,175000,111,490000
alfa-romeo,Giulietta,13,150000,111,540000
alfa-romeo,Giulietta,10,155000,111,525000
alfa-romeo,Giulietta,11,170000,111,495000
alfa-romeo,Giulietta,13,210000,111,445000
alfa-romeo,Giulietta,9,130000,111,565000
alfa-romeo,Giulietta,12,190000,111,475000
alfa-romeo,Giulietta,13,140000,111,545000
alfa-romeo,Giulietta,10,140000,111,540000
alfa-romeo,Giulietta,11,160000,111,510000
alfa-romeo,Giulietta,13,190000,111,460000
alfa-romeo,Giulietta,9,150000,111,545000
alfa-romeo,Giulietta,12,180000,111,485000
alfa-romeo,Giulietta,13,160000,111,530000
alfa-romeo,Giulietta,10,148000,111,532000
alfa-romeo,Giulietta,11,168000,111,502000
alfa-romeo,Giulietta,13,205000,111,448000
alfa-romeo,Giulietta,9,135000,111,562000
alfa-romeo,Giulietta,12,182000,111,487000
alfa-romeo,Giulietta,13,135000,111,552000
alfa-romeo,Giulietta,10,152000,111,528000
alfa-romeo,Giulietta,11,172000,111,493000
alfa-romeo,Giulietta,13,195000,111,455000
alfa-romeo,Giulietta,9,142000,111,553000
alfa-romeo,Giulietta,12,188000,111,478000
alfa-romeo,Giulietta,13,148000,111,538000
alfa-romeo,Giulietta,10,142000,111,538000
alfa-romeo,Giulietta,11,162000,111,508000
alfa-romeo,Giulietta,13,185000,111,465000
alfa-romeo,Giulietta,9,147000,111,548000
alfa-romeo,Giulietta,12,177000,111,488000
alfa-romeo,Giulietta,13,155000,111,535000
alfa-romeo,Giulietta,10,154000,111,526000
alfa-romeo,Giulietta,11,174000,111,491000
alfa-romeo,Giulietta,13,215000,111,443000
alfa-romeo,Giulietta,9,132000,111,563000
alfa-romeo,Giulietta,12,192000,111,473000
alfa-romeo,Giulietta,13,137000,111,550000
alfa-romeo,Giulietta,10,146000,111,534000
alfa-romeo,Giulietta,11,166000,111,504000
alfa-romeo,Giulietta,13,198000,111,457000
alfa-romeo,Giulietta,9,140000,111,556000
audi,A4,3,122176,150,2450890
audi,A4,4,70600,140,1956000
audi,A4,4,65000,150,2400000
audi,A4,5,80000,150,2300000
audi,A4,5,122750,140,1689370
audi,A4,6,100000,150,2100000
audi,A4,7,5000,140,2164800
audi,A4,7,5000,150,2898900
audi,A4,7,5000,150,3247000
audi,A4,10,131500,102,1053000
audi,A4,11,164525,102,860210
audi,A4,12,154030,102,856010
audi,A4,18,361600,110,501000
audi,A4,18,179800,110,642000
audi,A4,19,189675,110,608680
audi,A4,21,313100,115,562000
audi,A4,21,498080,110,475310
audi,A4,22,312542,110,504820
audi,A4,22,150171,115,610050
audi,A4,23,201202,110,521190
audi,A4,23,297152,110,488200
audi,A4,24,204600,110,480000
audi,A4,24,404936,115,481080
audi,A4,25,297805,110,480000
audi,A4,3,115000,150,2500000
audi,A4,4,75000,140,1980000
audi,A4,4,68000,150,2350000
audi,A4,5,85000,150,2250000
audi,A4,5,130000,140,1650000
audi,A4,6,110000,150,2050000
audi,A4,7,115000,140,1800000
audi,A4,7,120000,150,2000000
audi,A4,7,125000,150,2200000
audi,A4,10,140000,102,1000000
audi,A4,11,170000,102,850000
audi,A4,12,160000,102,850000
audi,A4,18,350000,110,510000
audi,A4,18,185000,110,630000
audi,A4,19,195000,110,600000
audi,A4,21,320000,115,550000
audi,A4,21,480000,110,480000
audi,A4,22,330000,110,490000
audi,A4,22,160000,115,600000
audi,A4,23,210000,110,510000
audi,A4,23,300000,110,485000
audi,A4,24,210000,110,475000
audi,A4,24,410000,115,475000
audi,A4,25,310000,110,470000
audi,A4,3,120000,150,2480000
audi,A4,4,72000,140,1960000
audi,A4,4,67000,150,2380000
audi,A4,5,82000,150,2280000
audi,A4,5,125000,140,1670000
audi,A4,6,105000,150,2080000
audi,A4,7,100000,140,1900000
audi,A4,7,110000,150,2100000
audi,A4,7,130000,150,2300000
audi,A4,10,135000,102,1030000
audi,A4,11,160000,102,880000
audi,A4,12,158000,102,840000
audi,A4,18,370000,110,490000
audi,A4,18,175000,110,650000
audi,A4,19,192000,110,605000
audi,A4,21,315000,115,558000
audi,A4,21,490000,110,478000
audi,A4,22,320000,110,500000
audi,A4,22,155000,115,605000
audi,A4,23,205000,110,515000
audi,A4,23,290000,110,492000
audi,A4,24,208000,110,478000
audi,A4,24,400000,115,483000
audi,A4,25,300000,110,475000
audi,A6,7,130000,190,2100000
audi,A6,8,150000,190,1950000
audi,A6,9,170000,190,1850000
audi,A6,9,143491,190,1850120
audi,A6,10,172300,160,1542000
audi,A6,10,284970,160,1491500
audi,A6,11,210000,140,1250000
audi,A6,11,234479,140,1250000
audi,A6,12,240000,190,1450000
audi,A6,12,259680,190,1351180
audi,A6,13,184970,190,2100000
audi,A6,13,249820,160,1477700
audi,A6,14,280000,140,1000000
audi,A6,14,491960,140,998780
audi,A6,16,190470,140,1250000
audi,A6,17,184800,190,1472500
audi,A6,17,361200,140,1000000
audi,A6,7,140000,190,2050000
audi,A6,8,160000,190,1900000
audi,A6,9,180000,190,1800000
audi,A6,9,150000,190,1830000
audi,A6,10,180000,160,1520000
audi,A6,10,290000,160,1470000
audi,A6,11,220000,140,1230000
audi,A6,11,240000,140,1230000
audi,A6,12,250000,190,1430000
audi,A6,12,265000,190,1330000
audi,A6,13,190000,190,2050000
audi,A6,13,255000,160,1450000
audi,A6,14,290000,140,980000
audi,A6,14,500000,140,970000
audi,A6,16,200000,140,1230000
audi,A6,17,190000,190,1450000
audi,A6,17,370000,140,980000
audi,A6,7,135000,190,2080000
audi,A6,8,155000,190,1930000
audi,A6,9,175000,190,1830000
audi,A6,9,145000,190,1840000
audi,A6,10,175000,160,1530000
audi,A6,10,288000,160,1480000
audi,A6,11,215000,140,1240000
audi,A6,11,238000,140,1240000
audi,A6,12,245000,190,1440000
audi,A6,12,262000,190,1340000
audi,A6,13,188000,190,2080000
audi,A6,13,252000,160,1460000
audi,A6,14,285000,140,990000
audi,A6,14,495000,140,985000
audi,A6,16,195000,140,1240000
audi,A6,17,188000,190,1460000
audi,A6,17,365000,140,990000
audi,A6,7,125000,190,2120000
audi,A6,8,145000,190,1970000
audi,A6,9,165000,190,1870000
audi,A6,9,140000,190,1860000
audi,A6,10,168000,160,1550000
audi,A6,10,280000,160,1500000
audi,A6,11,205000,140,1260000
audi,A6,11,230000,140,1260000
audi,A6,12,235000,190,1460000
audi,A6,12,255000,190,1360000
audi,A6,13,180000,190,2120000
audi,A6,13,245000,160,1480000
audi,A6,14,275000,140,1010000
audi,A6,14,485000,140,1000000
audi,A6,16,185000,140,1260000
audi,A6,17,180000,190,1480000
audi,A6,17,355000,140,1010000
bmw,3 Serisi,1,15000,184,3800000
bmw,3 Serisi,1,10500,184,3800000
bmw,3 Serisi,2,28000,184,3600000
bmw,3 Serisi,3,47400,182,3230000
bmw,3 Serisi,3,40000,184,3300000
bmw,3 Serisi,3,33180,182,3230000
bmw,3 Serisi,4,60000,184,3100000
bmw,3 Serisi,4,5000,182,3230000
bmw,3 Serisi,4,43200,184,3262000
bmw,3 Serisi,4,5000,184,3800000
bmw,3 Serisi,5,80000,184,2850000
bmw,3 Serisi,6,105000,184,2650000
bmw,3 Serisi,7,118400,101,1312000
bmw,3 Serisi,7,171128,184,2381200
bmw,3 Serisi,7,158400,184,2510100
bmw,3 Serisi,8,112444,101,1312000
bmw,3 Serisi,8,128000,184,2850000
bmw,3 Serisi,9,131900,101,1312000
bmw,3 Serisi,10,187800,121,1130000
bmw,3 Serisi,10,190000,170,1750000
bmw,3 Serisi,10,141424,121,1130000
bmw,3 Serisi,11,210000,170,1650000
bmw,3 Serisi,12,139700,121,1087000
bmw,3 Serisi,12,230000,170,1500000
bmw,3 Serisi,13,222500,121,919000
bmw,3 Serisi,13,399625,121,838270
bmw,3 Serisi,13,381150,170,1408100
bmw,3 Serisi,13,5000,121,1128400
bmw,3 Serisi,14,280000,170,1250000
bmw,3 Serisi,14,161864,121,1028700
bmw,3 Serisi,14,230180,121,919000
bmw,3 Serisi,14,294000,170,1351500
bmw,3 Serisi,16,300000,170,1307000
bmw,3 Serisi,16,190000,170,1750000
bmw,3 Serisi,18,350000,170,950000
bmw,3 Serisi,19,490000,170,950000
bmw,3 Serisi,20,577000,170,950000
bmw,3 Serisi,23,322300,182,902000
bmw,3 Serisi,23,559318,182,902000
bmw,3 Serisi,24,303400,101,410000
bmw,3 Serisi,24,295000,182,883000
bmw,3 Serisi,25,516250,182,883000
bmw,3 Serisi,26,490050,182,883000
bmw,3 Serisi,26,361622,101,410000
bmw,3 Serisi,28,319690,101,410000
bmw,3 Serisi,1,16000,184,3750000
bmw,3 Serisi,1,11000,184,3780000
bmw,3 Serisi,2,30000,184,3550000
bmw,3 Serisi,3,45000,182,3250000
bmw,3 Serisi,3,42000,184,3280000
bmw,3 Serisi,3,35000,182,3200000
bmw,3 Serisi,4,65000,184,3050000
bmw,3 Serisi,4,50000,182,3180000
bmw,3 Serisi,4,45000,184,3240000
bmw,3 Serisi,4,40000,184,3700000
bmw,3 Serisi,5,85000,184,2800000
bmw,3 Serisi,6,110000,184,2600000
bmw,3 Serisi,7,125000,101,1280000
bmw,3 Serisi,7,165000,184,2400000
bmw,3 Serisi,7,160000,184,2480000
bmw,3 Serisi,8,115000,101,1290000
bmw,3 Serisi,8,130000,184,2820000
bmw,3 Serisi,9,135000,101,1290000
bmw,3 Serisi,10,190000,121,1100000
bmw,3 Serisi,10,185000,170,1780000
bmw,3 Serisi,10,145000,121,1110000
bmw,3 Serisi,11,215000,170,1620000
bmw,3 Serisi,12,145000,121,1060000
bmw,3 Serisi,12,235000,170,1480000
bmw,3 Serisi,13,225000,121,910000
bmw,3 Serisi,13,390000,121,845000
bmw,3 Serisi,13,370000,170,1420000
bmw,3 Serisi,13,100000,121,1080000
bmw,3 Serisi,14,285000,170,1220000
bmw,3 Serisi,14,165000,121,1000000
bmw,3 Serisi,14,235000,121,915000
bmw,3 Serisi,14,300000,170,1320000
bmw,3 Serisi,16,310000,170,1280000
bmw,3 Serisi,16,195000,170,1720000
bmw,3 Serisi,18,360000,170,930000
bmw,3 Serisi,19,480000,170,960000
bmw,3 Serisi,20,560000,170,970000
bmw,3 Serisi,23,330000,182,880000
bmw,3 Serisi,23,540000,182,910000
bmw,3 Serisi,24,310000,101,400000
bmw,3 Serisi,24,280000,182,890000
bmw,3 Serisi,25,500000,182,895000
bmw,3 Serisi,26,480000,182,888000
bmw,3 Serisi,26,350000,101,415000
bmw,3 Serisi,28,330000,101,405000
bmw,3 Serisi,1,14000,184,3850000
bmw,3 Serisi,1,10000,184,3820000
bmw,3 Serisi,2,25000,184,3650000
bmw,3 Serisi,3,49000,182,3200000
bmw,3 Serisi,3,38000,184,3320000
bmw,3 Serisi,3,31000,182,3250000
bmw,3 Serisi,4,55000,184,3150000
bmw,3 Serisi,4,10000,182,3200000
bmw,3 Serisi,4,40000,184,3300000
bmw,3 Serisi,4,20000,184,3750000
bmw,3 Serisi,5,75000,184,2900000
bmw,3 Serisi,6,100000,184,2700000
bmw,3 Serisi,7,115000,101,1330000
bmw,3 Serisi,7,175000,184,2350000
bmw,3 Serisi,7,155000,184,2550000
bmw,3 Serisi,8,110000,101,1340000
bmw,3 Serisi,8,125000,184,2880000
bmw,3 Serisi,9,130000,101,1340000
bmw,3 Serisi,10,185000,121,1150000
bmw,3 Serisi,10,195000,170,1700000
bmw,3 Serisi,10,140000,121,1150000
bmw,3 Serisi,11,205000,170,1680000
bmw,3 Serisi,12,135000,121,1100000
bmw,3 Serisi,12,225000,170,1520000
bmw,3 Serisi,13,220000,121,925000
bmw,3 Serisi,13,405000,121,830000
bmw,3 Serisi,13,385000,170,1380000
bmw,3 Serisi,13,10000,121,1100000
bmw,3 Serisi,14,275000,170,1280000
bmw,3 Serisi,14,160000,121,1050000
bmw,3 Serisi,14,225000,121,930000
bmw,3 Serisi,14,290000,170,1380000
bmw,3 Serisi,16,295000,170,1330000
bmw,3 Serisi,16,185000,170,1780000
bmw,3 Serisi,18,345000,170,970000
bmw,3 Serisi,19,495000,170,930000
bmw,3 Serisi,20,580000,170,935000
bmw,3 Serisi,23,320000,182,905000
bmw,3 Serisi,23,565000,182,898000
bmw,3 Serisi,24,300000,101,420000
bmw,3 Serisi,24,290000,182,888000
bmw,3 Serisi,25,520000,182,878000
bmw,3 Serisi,26,495000,182,875000
bmw,3 Serisi,26,365000,101,405000
bmw,3 Serisi,28,315000,101,418000
bmw,5 Serisi,15,300000,160,1100000
bmw,5 Serisi,16,321000,160,1073800
bmw,5 Serisi,18,330000,160,1012800
bmw,5 Serisi,15,310000,160,1080000
bmw,5 Serisi,16,330000,160,1050000
bmw,5 Serisi,18,340000,160,990000
bmw,5 Serisi,15,290000,160,1120000
bmw,5 Serisi,16,315000,160,1090000
bmw,5 Serisi,18,320000,160,1030000
bmw,5 Serisi,15,320000,160,1060000
bmw,5 Serisi,16,340000,160,1030000
bmw,5 Serisi,18,350000,160,970000
bmw,5 Serisi,15,280000,160,1140000
bmw,5 Serisi,16,305000,160,1110000
bmw,5 Serisi,18,310000,160,1050000
bmw,5 Serisi,15,330000,160,1040000
bmw,5 Serisi,16,350000,160,1010000
bmw,5 Serisi,18,360000,160,950000
bmw,5 Serisi,15,295000,160,1110000
bmw,5 Serisi,16,325000,160,1070000
bmw,5 Serisi,18,335000,160,1000000
bmw,5 Serisi,15,315000,160,1070000
bmw,5 Serisi,16,335000,160,1040000
bmw,5 Serisi,18,345000,160,980000
bmw,5 Serisi,15,285000,160,1130000
bmw,5 Serisi,16,300000,160,1100000
bmw,5 Serisi,18,325000,160,1020000
bmw,5 Serisi,15,325000,160,1050000
bmw,5 Serisi,16,345000,160,1020000
bmw,5 Serisi,18,355000,160,960000
bmw,5 Serisi,15,305000,160,1090000
bmw,5 Serisi,16,320000,160,1080000
bmw,5 Serisi,18,330000,160,1015000
bmw,5 Serisi,15,300000,160,1100000
bmw,5 Serisi,16,321000,160,1073800
bmw,5 Serisi,18,330000,160,1012800
bmw,5 Serisi,15,310000,160,1080000
bmw,5 Serisi,16,330000,160,1050000
bmw,5 Serisi,18,340000,160,990000
bmw,5 Serisi,15,290000,160,1120000
bmw,5 Serisi,16,315000,160,1090000
bmw,5 Serisi,18,320000,160,1030000
bmw,5 Serisi,15,320000,160,1060000
buick,Century,24,463000,123,272000
buick,Century,25,589625,123,272000
buick,Century,27,324100,123,272000
buick,Century,23,450000,123,280000
buick,Century,26,600000,123,260000
buick,Century,28,330000,123,270000
buick,Century,24,470000,123,275000
buick,Century,25,570000,123,275000
buick,Century,27,340000,123,270000
buick,Century,23,440000,123,285000
buick,Century,26,610000,123,255000
buick,Century,28,310000,123,275000
buick,Century,24,455000,123,278000
buick,Century,25,595000,123,265000
buick,Century,27,320000,123,275000
buick,Century,23,460000,123,275000
buick,Century,26,580000,123,265000
buick,Century,28,350000,123,265000
buick,Century,24,475000,123,270000
buick,Century,25,585000,123,268000
buick,Century,27,335000,123,272000
buick,Century,23,430000,123,290000
buick,Century,26,620000,123,250000
buick,Century,28,300000,123,280000
buick,Century,24,458000,123,276000
buick,Century,25,592000,123,267000
buick,Century,27,328000,123,273000
buick,Century,23,445000,123,282000
buick,Century,26,585000,123,263000
buick,Century,28,345000,123,267000
buick,Century,24,465000,123,273000
buick,Century,25,575000,123,273000
buick,Century,27,342000,123,268000
buick,Century,23,448000,123,280000
buick,Century,26,605000,123,258000
buick,Century,28,315000,123,278000
buick,Century,24,450000,123,279000
buick,Century,25,580000,123,270000
buick,Century,27,330000,123,274000
buick,Century,23,435000,123,288000
buick,Century,26,615000,123,253000
buick,Century,28,305000,123,279000
buick,Century,24,468000,123,274000
buick,Century,25,587000,123,271000
buick,Century,27,338000,123,271000
buick,Century,23,438000,123,287000
buick,Century,26,618000,123,252000
buick,Century,28,302000,123,280000
buick,LaCrosse,18,346584,184,666000
buick,LaCrosse,21,348400,184,666000
buick,LaCrosse,22,333800,155,436000
buick,LaCrosse,24,585252,155,436000
buick,LaCrosse,25,308674,155,436000
buick,LaCrosse,17,330000,184,680000
buick,LaCrosse,20,335000,184,670000
buick,LaCrosse,23,350000,155,420000
buick,LaCrosse,25,600000,155,425000
buick,LaCrosse,26,320000,155,430000
buick,LaCrosse,18,355000,184,660000
buick,LaCrosse,21,358000,184,655000
buick,LaCrosse,22,340000,155,430000
buick,LaCrosse,24,570000,155,440000
buick,LaCrosse,25,315000,155,435000
buick,LaCrosse,17,345000,184,670000
buick,LaCrosse,20,325000,184,685000
buick,LaCrosse,23,325000,155,445000
buick,LaCrosse,25,595000,155,428000
buick,LaCrosse,26,300000,155,440000
buick,LaCrosse,18,340000,184,675000
buick,LaCrosse,21,345000,184,668000
buick,LaCrosse,22,330000,155,438000
buick,LaCrosse,24,590000,155,433000
buick,LaCrosse,25,305000,155,439000
buick,LaCrosse,17,335000,184,675000
buick,LaCrosse,20,338000,184,665000
buick,LaCrosse,23,348000,155,422000
buick,LaCrosse,25,605000,155,423000
buick,LaCrosse,26,325000,155,428000
buick,LaCrosse,18,350000,184,663000
buick,LaCrosse,21,353000,184,658000
buick,LaCrosse,22,338000,155,433000
buick,LaCrosse,24,575000,155,437000
buick,LaCrosse,25,310000,155,438000
buick,LaCrosse,17,340000,184,672000
buick,LaCrosse,20,328000,184,680000
buick,LaCrosse,23,328000,155,442000
buick,LaCrosse,25,598000,155,426000
buick,LaCrosse,26,305000,155,437000
buick,LaCrosse,18,342000,184,670000
buick,LaCrosse,21,347000,184,665000
buick,LaCrosse,22,332000,155,436000
buick,LaCrosse,24,588000,155,435000
buick,LaCrosse,25,307000,155,437000
buick,LaCrosse,17,337000,184,677000
buick,LaCrosse,20,333000,184,667000
buick,LaCrosse,23,343000,155,424000
buick,LaCrosse,25,602000,155,424000
buick,LaCrosse,26,322000,155,430000
buick,Regal,3,53900,155,1051000
buick,Regal,4,73286,155,1028300
buick,Regal,6,42043,155,1051000
buick,Regal,7,118900,184,1473000
buick,Regal,9,133168,184,1473000
buick,Regal,10,135500,123,741000
buick,Regal,11,170730,123,676100
buick,Regal,12,203250,123,613700
buick,Regal,14,242500,123,523000
buick,Regal,17,314800,123,390000
buick,Regal,17,173325,184,1248900
buick,Regal,18,550186,123,390000
buick,Regal,19,360944,123,390000
buick,Regal,4,65000,155,1035000
buick,Regal,5,80000,155,1010000
buick,Regal,7,45000,155,1040000
buick,Regal,8,125000,184,1450000
buick,Regal,10,140000,184,1450000
buick,Regal,11,145000,123,720000
buick,Regal,12,180000,123,650000
buick,Regal,13,210000,123,590000
buick,Regal,15,250000,123,500000
buick,Regal,18,320000,123,370000
buick,Regal,18,180000,184,1220000
buick,Regal,19,560000,123,380000
buick,Regal,20,370000,123,385000
buick,Regal,4,50000,155,1045000
buick,Regal,5,75000,155,1020000
buick,Regal,7,40000,155,1060000
buick,Regal,8,115000,184,1480000
buick,Regal,10,130000,184,1480000
buick,Regal,11,135000,123,750000
buick,Regal,12,170000,123,680000
buick,Regal,13,200000,123,620000
buick,Regal,15,240000,123,530000
buick,Regal,18,300000,123,400000
buick,Regal,18,170000,184,1250000
buick,Regal,19,540000,123,400000
buick,Regal,20,350000,123,400000
buick,Regal,4,55000,155,1030000
buick,Regal,5,85000,155,1000000
buick,Regal,7,50000,155,1030000
buick,Regal,8,130000,184,1460000
buick,Regal,10,150000,184,1440000
buick,Regal,11,155000,123,700000
buick,Regal,12,190000,123,630000
buick,Regal,13,220000,123,570000
buick,Regal,15,260000,123,480000
buick,Regal,18,330000,123,350000
buick,Regal,18,190000,184,1200000
buick,Regal,19,570000,123,370000
buick,Regal,20,390000,123,375000
buick,Regal,4,60000,155,1025000
buick,Regal,5,90000,155,990000
buick,Regal,7,55000,155,1020000
buick,Regal,8,135000,184,1445000
buick,Regal,10,155000,184,1430000
buick,Regal,11,160000,123,690000
buick,Regal,12,195000,123,620000
buick,Regal,13,225000,123,560000
buick,Regal,15,265000,123,470000
buick,Regal,18,335000,123,345000
buick,Regal,18,195000,184,1190000
buick,Regal,19,575000,123,365000
buick,Regal,20,395000,123,370000
chevrolet,Aveo,12,143400,48,186000
chevrolet,Aveo,12,148700,70,240000
chevrolet,Aveo,13,105745,70,240000
chevrolet,Aveo,14,172200,48,186000
chevrolet,Aveo,14,255777,70,240000
chevrolet,Aveo,15,121088,48,186000
chevrolet,Cruze,10,111800,70,283000
chevrolet,Cruze,11,103974,70,283000
chevrolet,Cruze,12,151042,70,283000
chevrolet,Aveo,11,130000,48,190000
chevrolet,Aveo,11,135000,70,250000
chevrolet,Aveo,12,110000,70,230000
chevrolet,Aveo,13,160000,48,180000
chevrolet,Aveo,13,240000,70,250000
chevrolet,Aveo,14,115000,48,195000
chevrolet,Cruze,9,100000,70,290000
chevrolet,Cruze,10,95000,70,285000
chevrolet,Cruze,11,140000,70,280000
chevrolet,Aveo,11,140000,48,185000
chevrolet,Aveo,11,145000,70,245000
chevrolet,Aveo,12,120000,70,235000
chevrolet,Aveo,13,170000,48,175000
chevrolet,Aveo,13,260000,70,235000
chevrolet,Aveo,14,125000,48,190000
chevrolet,Cruze,9,105000,70,288000
chevrolet,Cruze,10,115000,70,280000
chevrolet,Cruze,11,155000,70,278000
chevrolet,Aveo,11,125000,48,195000
chevrolet,Aveo,11,130000,70,255000
chevrolet,Aveo,12,105000,70,245000
chevrolet,Aveo,13,155000,48,188000
chevrolet,Aveo,13,220000,70,260000
chevrolet,Aveo,14,100000,48,200000
chevrolet,Cruze,9,90000,70,295000
chevrolet,Cruze,10,120000,70,275000
chevrolet,Cruze,11,160000,70,275000
chevrolet,Aveo,11,135000,48,188000
chevrolet,Aveo,11,140000,70,248000
chevrolet,Aveo,12,115000,70,238000
chevrolet,Aveo,13,165000,48,182000
chevrolet,Aveo,13,250000,70,242000
chevrolet,Aveo,14,120000,48,192000
chevrolet,Cruze,9,102000,70,285000
chevrolet,Cruze,10,118000,70,278000
chevrolet,Cruze,11,150000,70,285000
chevrolet,Aveo,11,142000,48,184000
chevrolet,Aveo,11,147000,70,243000
chevrolet,Aveo,12,122000,70,237000
chevrolet,Aveo,13,172000,48,174000
chevrolet,Aveo,13,262000,70,233000
chevrolet,Aveo,14,127000,48,188000
chevrolet,Cruze,9,107000,70,287000
chevrolet,Cruze,10,113000,70,282000
chevrolet,Cruze,11,157000,70,277000
chevrolet,Aveo,11,132000,48,193000
chevrolet,Aveo,11,137000,70,253000
chevrolet,Aveo,12,108000,70,243000
citroen,C3,3,40000,110,1050000
citroen,C3,4,68000,110,1041000
citroen,C3,6,44800,110,1050000
citroen,C3,3,45000,110,1030000
citroen,C3,4,70000,110,1020000
citroen,C3,6,50000,110,1030000
citroen,C3,3,35000,110,1070000
citroen,C3,4,65000,110,1055000
citroen,C3,6,40000,110,1070000
citroen,C3,3,42000,110,1040000
citroen,C3,4,72000,110,1035000
citroen,C3,6,48000,110,1040000
citroen,C3,3,38000,110,1060000
citroen,C3,4,62000,110,1065000
citroen,C3,6,42000,110,1060000
citroen,C3,3,48000,110,1025000
citroen,C3,4,75000,110,1028000
citroen,C3,6,52000,110,1025000
