marka,model,araba_yasi,kilometre,motor_gucu,fiyat
citroen,C3 Aircross,5,90000,110,880000
kia,Sportage,7,130000,120,900000
nissan,Qashqai,9,170000,115,810000
seat,Leon,4,60000,110,1050000
volvo,S60,4,70000,150,2200000
fiat,Linea,9,170000,95,590000
renault,Clio,7,120000,90,730000
volkswagen,Passat,8,145000,150,1400000
ford,Focus,10,180000,115,720000
toyota,Corolla,12,200000,110,750000
hyundai,i30,5,100000,115,880000
dacia,Sandero,1,16000,115,1040000
peugeot,2008,2,32000,130,1500000
opel,Astra,10,190000,100,600000
mercedes-benz,E Serisi,11,230000,156,1700000
bmw,3 Serisi,14,280000,170,1250000
audi,A6,12,240000,190,1450000
skoda,Octavia,8,150000,105,840000
citroen,C-Elysee,7,130000,110,770000
kia,Rio,2,30000,120,1210000
nissan,Qashqai,4,60000,115,1100000
seat,Leon,1,14000,110,1160000
volvo,S60,8,140000,150,1650000
