marka,araba_yasi,kilometre,motor_gucu,fiyat
subaru,20,387400,73,150000
subaru,20,358000,73,150000
subaru,22,430100,82,158000
subaru,16,210900,82,277000
subaru,19,170400,94,323000
subaru,14,249300,82,237000
subaru,13,275900,111,356000
subaru,14,287600,82,217000
subaru,24,242800,94,240000
subaru,8,92400,82,422000
subaru,12,143400,111,445000
toyota,22,231500,62,159000
toyota,10,131200,62,250000
toyota,6,73900,62,317000
toyota,22,382600,62,150000
toyota,10,119900,62,238000
toyota,11,208300,62,199000
toyota,19,252200,70,188000
toyota,21,374000,70,150000
toyota,15,178000,56,170000
toyota,20,323000,56,150000
toyota,16,165200,70,207000
toyota,24,360900,70,150000
toyota,8,107100,70,309000
toyota,14,141300,70,250000
toyota,17,163000,70,200000
toyota,12,185400,112,488000
toyota,12,168800,112,501000
toyota,10,132800,116,580000
toyota,20,381100,116,277000
toyota,18,295600,116,303000
toyota,25,310100,116,227000
toyota,17,305000,116,308000
toyota,22,239300,116,286000
toyota,18,333800,92,233000
toyota,19,161100,73,222000
toyota,3,47300,92,642000
toyota,14,272800,92,285000
toyota,19,252800,92,249000
toyota,21,437600,161,432000
toyota,14,149800,161,698000
toyota,11,107300,156,772000
toyouta,18,335900,156,466000
vokswagen,13,277200,52,150000
volkswagen,19,394700,85,188000
volkswagen,10,95800,52,223000
volkswagen,19,206700,85,250000
volkswagen,21,208000,85,217000
volkswagen,21,390200,68,150000
volkswagen,3,52200,100,709000
vw,13,222600,90,311000
vw,21,380100,90,178000
volkswagen,15,165000,110,422000
volkswagen,22,357800,68,150000
volkswagen,12,230800,88,309000
volvo,8,93800,114,996000
volvo,21,373900,114,392000
volvo,13,115200,114,719000
volvo,8,162200,114,891000
volvo,20,385100,162,642000
volvo,10,135500,162,1217000
volvo,8,85500,114,958000
volvo,12,207300,160,1035000
volvo,12,254300,134,736000
volvo,10,105100,106,724000
volvo,7,72500,114,1048000
